player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I291445,Aaron,Mullett,12008
CD_I291533,Tom,McDonald,12009
CD_I290623,Josh,Caddy,12010
CD_I280758,Jack,Fitzpatrick,12013
CD_I291672,Aaron,Black,12014
CD_I291978,Harry,Cunningham,12015
CD_I291802,Tomas,Bugg,12016
CD_I293845,Jeremy,Cameron,12017
CD_I261841,Jonathan,Giles,12019
CD_I290306,Curtly,Hampton,12020
CD_I291964,Jack,Hombsch,12021
CD_I291783,Dylan,Shiel,12022
CD_I291891,Jacob,Townsend,12023
CD_I294125,Nathan,Wilson,12024
CD_I295344,Toby,Greene,12025
CD_I291720,Will,Hoskin-Elliott,12026
CD_I291819,Adam,Tomlinson,12027
CD_I291969,Stephen,Coniglio,12028
CD_I291771,Devon,Smith,12029
CD_I261189,Tim,Mohr,12030
CD_I291509,Adam,Kennedy,12031
CD_I291784,Dom,Tyson,12032
CD_I260433,Steven,Morris,12033
CD_I293713,Brandon,Ellis,12034
CD_I294733,Paul,Seedsman,12035
CD_I291811,Jackson,Paine,12037
CD_I296735,Aaron,Hall,12041
CD_I293847,Clay,Smith,12042
CD_I295712,Tory,Dickson,12043
CD_I290783,Billie,Smedts,12044
CD_I291962,Chad,Wingard,12047
CD_I291773,Jack,Newnes,12050
CD_I291828,Billy,Longer,12051
CD_I291806,Sam,Kerridge,12052
CD_I293255,George,Horlin-Smith,12053
CD_I291790,Adam,Treloar,12054
CD_I293535,Lachie,Neale,12055
CD_I291936,Shaun,Edwards,12058
CD_I290671,Anthony,Miles,12059
CD_I295584,Bradley,Hill,12060
CD_I293871,Jack,Crisp,12061
CD_I291492,Josh,Bruce,12065
CD_I291776,Taylor,Adams,12066
CD_I293716,Jarryd,Lyons,12067
CD_I290546,Aaron,Young,12068
CD_I240266,Lee,Spurr,12069
CD_I293662,Liam,Sumner,12073
CD_I294828,Josh,Jenkins,12074
CD_I294068,Andrew,Phillips,12075
CD_I261224,Dayne,Zorko,12076
CD_I291963,Brad,McKenzie,12078
CD_I294643,Alex,Sexton,12080
CD_I291797,Matt,Buntine,12082
CD_I293801,Jamie,Elliott,12083
CD_I295256,Marley,Williams,12084
CD_I250652,Jonathan,Simpkin,12086
CD_I292128,Elliot,Yeo,12087
CD_I293651,Hayden,Crozier,12088
CD_I293581,Lincoln,McCarthy,12090
CD_I295265,Nick,Haynes,12091
CD_I250557,Sam,Gibson,12093
CD_I293816,Mark,Whiley,12095
CD_I291821,Jonathon,Patton,12096
CD_I290246,Tom,Campbell,12097
CD_I295942,Jordan,Murdoch,12099
CD_I291825,Todd,Elton,12100
CD_I290733,Cam,Sutcliffe,12104
CD_I293193,Luke,Brown,12106
CD_I294798,Mark,Baguley,12107
CD_I291550,Josh,Walker,12109
CD_I281124,Levi,Casboult,12114
CD_I294691,Tom,Bell,12115
CD_I293738,Sam,Frost,12119
CD_I294101,Jason,Johannisen,12122
CD_I291810,Michael,Talia,12123
CD_I295313,Lin,Jong,12125
CD_I291814,Fletcher,Roberts,12126
CD_I293846,Sebastian,Ross,12132
CD_I295285,Jackson,Merrett,12136
CD_I291792,Tommy,Sheridan,12137
CD_I291686,Nick,Kommer,12138
CD_I290307,Dane,Rampe,12140
